purchase_platform,amount,payment_mode,transaction_date,customer_id
Flipkart,35387.44,Net Banking,21-02-2025,1002
Amazon,33378.42,Debit Card,25-04-2024,1006
Myntra,48163.29,Wallet Payment,09-10-2024,1009
Flipkart,15211.25,UPI,02-05-2024,1017
Flipkart,25184.54,UPI,31-10-2024,1018
Flipkart,10134.45,Debit Card,20-03-2025,1020
Amazon,22658.92,Debit Card,31-03-2024,1042
Flipkart,38738.09,Credit Card,26-11-2024,1044
Amazon,39246.26,Wallet Payment,09-07-2024,1106
Ajio,21936.47,Wallet Payment,25-01-2025,1120
Ajio,10292.37,Debit Card,31-05-2024,1138
Flipkart,30871.7,Debit Card,31-01-2025,1145
Flipkart,17263.36,Credit Card,24-10-2024,1152
Flipkart,46011.72,Wallet Payment,10-02-2025,1153
Myntra,19458.92,Net Banking,11-04-2024,1157
Snapdeal,10492.57,Net Banking,02-08-2024,1185
Snapdeal,40733.63,Wallet Payment,17-11-2024,1188
Flipkart,33350.21,Debit Card,21-10-2024,1194
Ajio,8150.51,UPI,23-11-2024,1201
Ajio,38269.41,Debit Card,24-04-2024,1202
Myntra,3247.62,Net Banking,27-09-2024,1231
Ajio,6735.69,UPI,27-02-2025,1241
eBay,3303.43,Debit Card,12-10-2024,1243
Ajio,36932.23,Wallet Payment,04-01-2025,1256
Snapdeal,42729.04,Credit Card,09-10-2024,1265
Ajio,14578.6,UPI,12-09-2024,1272
eBay,33911.81,Credit Card,09-04-2024,1298
Flipkart,17038.8,Wallet Payment,04-05-2024,1307
eBay,9212.65,Credit Card,22-03-2025,1311
Myntra,13965.96,Net Banking,06-01-2025,1313
Flipkart,21879.58,Debit Card,28-01-2025,1319
Flipkart,2846.43,Debit Card,21-12-2024,1320
Flipkart,37139.11,Debit Card,04-09-2024,1333
eBay,34987.9,Net Banking,17-06-2024,1339
eBay,42785.99,Wallet Payment,26-10-2024,1349
Myntra,17608.57,Net Banking,26-10-2024,1356
Snapdeal,42082.71,UPI,05-09-2024,1417
eBay,1547.25,Credit Card,03-01-2025,1424
eBay,30671.6,Credit Card,26-12-2024,1430
eBay,37549.54,Debit Card,21-03-2025,1436
Flipkart,28211.9,Net Banking,21-06-2024,1449
Snapdeal,9765.98,UPI,21-02-2025,1461
Amazon,28698.59,Net Banking,30-07-2024,1464
eBay,25504.61,UPI,28-06-2024,1470
Ajio,28199.05,UPI,17-06-2024,1472
eBay,37405.17,Debit Card,05-12-2024,1474
eBay,46081.02,Wallet Payment,10-06-2024,1475
Ajio,19226.76,Wallet Payment,26-01-2025,1496
Ajio,44937.33,Debit Card,11-04-2024,1502
Flipkart,48384.48,Wallet Payment,17-10-2024,1508
eBay,3266.28,UPI,03-11-2024,1519
eBay,46634.13,Net Banking,10-06-2024,1530
Flipkart,4884.96,Wallet Payment,05-03-2025,1547
Ajio,472.2,Wallet Payment,03-03-2025,1550
Amazon,1749.7,Net Banking,07-06-2024,1568
eBay,48635.94,Debit Card,02-06-2024,1601
Amazon,5074.13,UPI,18-11-2024,1605
Snapdeal,40387.76,Net Banking,16-05-2024,1611
Ajio,16060.44,Net Banking,26-02-2025,1618
Ajio,31367.39,Net Banking,04-06-2024,1626
eBay,37549.48,Net Banking,07-02-2025,1645
Flipkart,49741.99,Wallet Payment,29-06-2024,1646
eBay,28609.48,Net Banking,22-11-2024,1651
Snapdeal,6665.73,UPI,28-12-2024,1653
Amazon,9510.66,Debit Card,19-03-2025,1659
Myntra,40646.06,Debit Card,19-05-2024,1660
eBay,22612.15,Debit Card,28-01-2025,1672
Snapdeal,16336.27,Net Banking,04-01-2025,1686
Myntra,40831.76,Net Banking,14-01-2025,1693
Snapdeal,11876.43,UPI,15-01-2025,1699
Flipkart,43531.56,Debit Card,26-03-2024,1719
Flipkart,25317.74,UPI,21-01-2025,1722
Ajio,13115.77,UPI,20-11-2024,1725
Flipkart,36058.6,Credit Card,28-07-2024,1731
Snapdeal,31353.25,Net Banking,27-12-2024,1742
Amazon,27913.91,Credit Card,17-07-2024,1749
eBay,18802.4,UPI,28-11-2024,1751
eBay,28261.46,Wallet Payment,14-11-2024,1757
Snapdeal,30629.89,Net Banking,17-06-2024,1768
Myntra,25897.59,UPI,01-04-2024,1785
eBay,21509.82,Net Banking,24-01-2025,1790
Snapdeal,42011.32,Credit Card,12-08-2024,1793
Amazon,11556.56,Wallet Payment,02-06-2024,1794
Ajio,5366.12,Net Banking,30-12-2024,1797
